Crop,State,Season,Area,Cost_of_Cultivation,Cost_of_Production,Annual_Rainfall,Temperature,Yield,Production
Wheat,Tamil Nadu,Zaid,652.14,27334.81,22241.07,703.32,23.13,3057.87,1994.16
Sugarcane,Madhya Pradesh,Zaid,721.08,31943.34,24365.17,1164.98,30.91,69026.06,49773.31
Groundnut,Uttar Pradesh,Rabi,906.15,38891.69,27419.56,1396.68,31.72,1640.76,1486.77
Rice,Karnataka,Kharif,499.44,46460.23,38588.3,374.13,39.86,1901.83,949.85
Groundnut,Uttar Pradesh,Kharif,953.1,33191.27,25418.85,1272.9,39.51,1740.89,1659.24
Sugarcane,Karnataka,Zaid,268.84,41690.39,29675.47,970.98,36.11,69530.34,18692.54
Soybean,Haryana,Zaid,518.57,63255.52,52010.62,1484.93,32.56,1597.13,828.22
Soybean,Rajasthan,Zaid,420.07,29091.38,22791.76,438.71,15.13,1131.01,475.1
Sunflower,Uttar Pradesh,Zaid,28.1,46837.57,34263.66,1442.44,23.2,1572.09,44.18
Jowar,Tamil Nadu,Rabi,860.47,28763.82,17593.4,815.55,28.43,1392.05,1197.82
Cotton,Andhra Pradesh,Rabi,52.16,44224.5,33707.5,1383.63,33.15,1030.37,53.74
Wheat,Rajasthan,Rabi,41.55,36935.15,26964.74,1564.87,21.27,4360.76,181.19
Rice,Rajasthan,Rabi,156.86,28763.36,21997.3,1514.81,31.5,2750.85,431.5
Cotton,Punjab,Kharif,738.03,45489.47,35641.74,1013.32,21.19,922.69,680.97
Barley,Karnataka,Zaid,41.21,62050.33,50328.86,1106.1,17.45,2659.11,109.58
Cotton,Andhra Pradesh,Kharif,464.94,50737.55,31174.05,1913.55,37.17,1305.38,606.92
Sunflower,Karnataka,Kharif,163.35,18881.28,14967.68,345.07,29.64,1102.81,180.14
Sugarcane,Madhya Pradesh,Rabi,573.58,22067.52,18610.89,1695.09,30.65,69062.68,39612.97
Wheat,Uttar Pradesh,Rabi,683.17,18915.38,13159.29,1736.29,15.58,4259.11,2909.7
Wheat,Uttar Pradesh,Kharif,496.29,53108.97,37415.32,1892.3,15.98,4079.01,2024.37
Sugarcane,Rajasthan,Kharif,750.74,59375.91,53269.19,1001.45,24.3,64870.22,48700.67
Soybean,Madhya Pradesh,Zaid,930.79,62212.7,45334.28,1576.48,33.86,1907.42,1775.41
Groundnut,Uttar Pradesh,Kharif,53.96,67719.78,57842.37,903.34,38.92,1518.75,81.95
Sugarcane,Uttar Pradesh,Rabi,632.02,39664.5,27287.72,858.73,31.81,70359.45,44468.58
Barley,Andhra Pradesh,Kharif,930.96,68583.65,61641.57,394.98,33.43,2620.42,2439.51
Wheat,Gujarat,Rabi,837.05,62677.78,53372.9,1024.36,20.56,3761.55,3148.61
Wheat,Karnataka,Kharif,85.3,69265.18,49336.29,930.09,35.32,3354.07,286.1
Soybean,Gujarat,Kharif,753.5,35694.28,22310.72,1621.15,28.96,1933.53,1456.91
Soybean,Uttar Pradesh,Kharif,11.85,40776.34,25154.56,501.99,17.94,1251.85,14.83
Barley,Andhra Pradesh,Kharif,681.2,28062.86,20207.14,1112.12,17.07,2284.49,1556.19
Jowar,Karnataka,Rabi,924.68,65551.36,44305.97,1482.2,16.89,1668.56,1542.88
Barley,Punjab,Rabi,294.85,69770.73,56449.93,953.14,33.43,2702.64,796.87
Sunflower,Karnataka,Rabi,188.53,40503.41,28595.64,1292.22,16.94,1411.05,266.03
Barley,Maharashtra,Zaid,698.31,44485.3,30822.01,1683.45,32.12,3330.83,2325.95
Wheat,Rajasthan,Rabi,866.13,17487.03,10630.54,939.99,35.26,3992.79,3458.28
Rice,Karnataka,Rabi,381.2,68345.29,58273.63,1725.16,26.72,2575.12,981.64
Soybean,Tamil Nadu,Kharif,534.58,56245.09,49155.38,1294.75,33.15,1568.95,838.73
Jowar,Rajasthan,Zaid,247.72,39779.93,25409.34,1921.89,30.15,1898.99,470.42
Wheat,Madhya Pradesh,Zaid,671.74,43616.92,36276.0,1184.28,36.3,3256.27,2187.37
Groundnut,Karnataka,Rabi,876.72,37191.56,23810.21,348.93,33.88,1478.77,1296.47
Maize,Andhra Pradesh,Rabi,617.46,68925.45,53929.09,1382.3,28.87,2728.86,1684.96
Maize,Haryana,Kharif,514.23,58100.92,41772.4,1357.55,36.56,2559.63,1316.24
Sugarcane,Madhya Pradesh,Kharif,980.04,42094.0,29407.94,1376.78,21.0,70780.84,69368.05
Maize,Gujarat,Zaid,128.48,23354.65,14985.47,1389.49,19.55,2797.51,359.42
Maize,Haryana,Kharif,192.69,17247.77,11222.79,773.6,19.43,2294.17,442.06
Cotton,Tamil Nadu,Kharif,534.66,34579.53,30024.2,518.87,23.25,612.14,327.29
Barley,Tamil Nadu,Zaid,511.9,23633.77,16855.27,304.41,36.71,2439.27,1248.66
Sunflower,Punjab,Zaid,184.93,26514.21,18855.36,1123.69,30.46,1352.43,250.1
Jowar,Madhya Pradesh,Zaid,713.49,64236.38,48402.32,1204.59,17.68,1215.57,867.3
Jowar,Tamil Nadu,Zaid,397.47,20767.8,17054.97,609.88,29.1,1065.16,423.37
Sugarcane,Gujarat,Rabi,789.28,42414.32,26554.59,1213.08,29.67,66865.19,52775.36
Sunflower,Madhya Pradesh,Kharif,564.68,35832.49,25126.96,1829.4,30.19,1742.02,983.68
Groundnut,Karnataka,Kharif,237.61,20598.04,13303.4,718.13,19.02,1321.31,313.96
Sunflower,Andhra Pradesh,Kharif,80.69,43848.13,31707.42,1970.04,17.8,1832.45,147.86
Sugarcane,Tamil Nadu,Rabi,258.27,24398.82,19533.52,1879.94,28.92,65339.26,16875.17
Sunflower,Rajasthan,Zaid,838.66,26279.27,23399.02,1508.62,19.99,1621.18,1359.62
Rice,Rajasthan,Rabi,288.99,46968.1,30355.9,1117.94,28.31,3041.01,878.82
Rice,Tamil Nadu,Rabi,454.54,45173.17,34542.87,642.94,32.11,2956.9,1344.03
Maize,Punjab,Kharif,830.7,68076.48,43384.4,1542.47,38.46,2514.2,2088.55
Maize,Uttar Pradesh,Kharif,741.25,46596.02,39725.37,537.61,34.88,2078.09,1540.38
Cotton,Karnataka,Kharif,236.07,49856.72,43493.0,837.53,29.71,749.59,176.96
Wheat,Madhya Pradesh,Zaid,713.93,64481.71,50761.97,1217.63,25.97,3002.97,2143.91
Soybean,Haryana,Rabi,67.09,27596.4,21052.05,1033.6,23.32,1671.27,112.13
Maize,Madhya Pradesh,Rabi,139.7,58671.39,46116.99,1206.88,37.35,2388.62,333.69
Rice,Karnataka,Zaid,744.07,16844.28,12986.38,1596.18,36.92,3053.24,2271.82
Rice,Tamil Nadu,Rabi,536.71,35835.19,26414.12,1326.73,27.56,2567.6,1378.06
Sugarcane,Haryana,Zaid,641.33,53167.16,40556.83,728.06,23.64,84602.98,54258.43
Jowar,Madhya Pradesh,Rabi,227.74,38297.83,26286.82,1345.42,37.8,1628.56,370.89
Sugarcane,Maharashtra,Kharif,922.54,53898.12,34805.34,1279.69,30.17,59444.71,54840.12
Groundnut,Uttar Pradesh,Kharif,104.69,61224.18,53461.31,508.78,20.9,1283.65,134.39
Soybean,Gujarat,Kharif,869.96,43536.09,33844.2,978.3,16.37,1454.87,1265.68
Barley,Rajasthan,Kharif,5.13,33342.45,23988.25,1213.57,38.0,2630.51,13.49
Wheat,Punjab,Zaid,33.33,65201.22,43976.13,1281.97,19.14,3209.11,106.96
Cotton,Madhya Pradesh,Kharif,362.71,46932.36,37061.51,322.26,31.59,505.17,183.23
Sunflower,Punjab,Zaid,595.59,18689.21,15418.38,656.84,37.45,1091.45,650.06
Rice,Madhya Pradesh,Zaid,66.18,57654.02,42432.59,1191.46,26.02,2954.56,195.53
Sugarcane,Punjab,Kharif,75.97,56428.54,38466.8,1825.63,28.16,52322.92,3974.97
Rice,Andhra Pradesh,Zaid,156.57,54378.47,43376.46,346.06,20.55,2423.04,379.38
Sunflower,Tamil Nadu,Kharif,800.02,24819.96,19752.32,704.91,17.49,1101.2,880.98
Sunflower,Madhya Pradesh,Rabi,830.3,36845.09,29491.75,648.47,22.33,1000.26,830.52
Wheat,Punjab,Zaid,624.95,33472.62,28369.12,917.2,15.86,4038.71,2523.99
Sugarcane,Karnataka,Kharif,409.71,45362.59,33152.7,800.59,38.71,61767.6,25306.8
Jowar,Madhya Pradesh,Zaid,894.6,58992.04,42920.49,338.2,21.72,1039.03,929.52
Sunflower,Haryana,Kharif,402.85,26991.27,21418.01,1016.9,18.31,1381.23,556.43
Cotton,Tamil Nadu,Rabi,529.9,59827.99,44836.72,414.2,25.13,565.47,299.64
Groundnut,Rajasthan,Zaid,107.03,22701.02,15416.38,753.05,33.3,1616.52,173.02
Cotton,Andhra Pradesh,Rabi,914.45,38032.38,27190.93,1182.16,16.17,905.04,827.61
Groundnut,Punjab,Zaid,90.79,57404.23,35617.88,1723.03,25.93,1974.37,179.25
Sunflower,Uttar Pradesh,Rabi,476.31,51501.91,45375.7,1545.37,20.37,1608.59,766.19
Sugarcane,Maharashtra,Zaid,595.28,17828.42,13351.88,1314.63,23.36,63332.53,37700.59
Barley,Madhya Pradesh,Kharif,413.09,53770.91,41913.66,1081.46,16.9,2891.39,1194.4
Wheat,Karnataka,Zaid,272.51,47462.69,33617.45,455.69,37.93,2823.92,769.55
Sunflower,Uttar Pradesh,Zaid,806.66,51233.09,41380.09,1743.63,21.24,1648.99,1330.17
Barley,Rajasthan,Kharif,944.09,17168.47,13935.18,1872.92,19.51,3498.56,3302.96
Cotton,Andhra Pradesh,Kharif,193.0,21340.51,15504.5,1652.08,33.63,1239.38,239.2
Sugarcane,Andhra Pradesh,Zaid,319.44,60590.35,37026.9,1313.66,20.75,58759.5,18770.13
Soybean,Andhra Pradesh,Zaid,315.63,44672.02,37400.17,841.88,30.65,1572.17,496.22
Jowar,Haryana,Zaid,462.21,69468.77,41686.21,615.3,24.6,1365.49,631.14
Barley,Rajasthan,Rabi,418.06,38174.64,31351.87,705.92,17.76,2520.52,1053.73
Sunflower,Haryana,Rabi,233.99,17315.13,10481.92,1979.13,25.69,1994.48,466.69
Jowar,Karnataka,Kharif,259.35,47370.48,42382.33,1803.14,30.02,1661.99,431.04
Wheat,Gujarat,Zaid,991.17,27741.94,24491.13,1404.4,30.19,3260.03,3231.24
Wheat,Gujarat,Rabi,37.21,67649.86,57357.73,1661.31,30.74,3818.28,142.08
Soybean,Punjab,Kharif,927.79,69719.93,45469.15,973.61,33.96,1355.81,1257.91
Maize,Tamil Nadu,Kharif,224.21,44533.59,34641.88,1286.15,17.29,2648.29,593.77
Barley,Madhya Pradesh,Zaid,273.32,41217.23,25279.06,1748.73,15.89,3313.55,905.66
Wheat,Madhya Pradesh,Zaid,5.58,53264.29,32738.1,1205.42,39.05,3533.96,19.72
Cotton,Punjab,Rabi,495.4,41432.26,32222.79,1701.96,23.7,1248.8,618.66
Rice,Tamil Nadu,Zaid,868.23,28490.7,18439.24,572.68,23.35,2835.63,2461.98
Barley,Karnataka,Rabi,106.28,53444.49,35100.55,1798.78,39.03,3442.15,365.83
Jowar,Rajasthan,Zaid,229.01,64978.57,39008.98,1245.51,33.92,1433.8,328.35
Soybean,Haryana,Kharif,617.12,68965.24,54451.1,741.67,30.85,1497.37,924.06
Groundnut,Uttar Pradesh,Rabi,18.92,38773.24,33036.21,966.66,19.49,1631.42,30.87
Cotton,Tamil Nadu,Rabi,947.32,24150.77,20076.42,1504.57,26.84,1127.59,1068.19
Maize,Maharashtra,Kharif,383.92,18609.44,15752.03,932.12,35.47,2811.0,1079.2
Jowar,Andhra Pradesh,Rabi,159.36,40769.67,36011.49,473.73,36.36,1228.7,195.81
Sugarcane,Haryana,Zaid,680.66,50998.12,34779.59,1916.47,18.78,66556.16,45302.12
Cotton,Karnataka,Zaid,964.54,56805.17,41620.56,830.32,23.02,793.95,765.8
Maize,Punjab,Kharif,715.07,45951.27,34071.02,1223.5,18.98,2691.87,1924.88
Barley,Punjab,Kharif,776.71,57400.7,48987.76,1593.74,30.66,3129.23,2430.5
Barley,Andhra Pradesh,Kharif,607.5,28614.7,21962.46,683.42,19.02,2854.64,1734.19
Groundnut,Tamil Nadu,Kharif,269.36,58865.75,40800.36,1073.87,15.29,1598.44,430.56
Groundnut,Gujarat,Kharif,952.67,64930.03,53066.38,1573.57,18.65,1774.35,1690.37
Barley,Tamil Nadu,Rabi,210.74,34030.91,28338.95,1900.1,16.81,3527.54,743.39
Rice,Maharashtra,Rabi,397.22,22299.37,17176.36,1472.09,35.01,2911.6,1156.55
Wheat,Rajasthan,Zaid,670.55,67335.25,42910.46,1823.58,29.87,4334.63,2906.59
Barley,Haryana,Rabi,625.49,58088.25,45522.45,1123.48,31.52,3211.25,2008.6
Sugarcane,Tamil Nadu,Rabi,783.94,41449.71,25376.6,578.8,25.97,69433.33,54431.56
Barley,Uttar Pradesh,Rabi,329.35,40860.04,33639.41,1782.12,25.84,3585.5,1180.88
Maize,Haryana,Rabi,719.34,27565.01,24778.19,1957.15,31.26,3046.15,2191.22
Groundnut,Punjab,Zaid,462.89,62754.99,51343.04,1562.6,25.64,1733.05,802.21
Sugarcane,Maharashtra,Rabi,867.1,46827.15,34258.02,1532.94,27.17,55058.63,47741.34
Maize,Rajasthan,Rabi,359.47,36111.59,26713.33,1721.2,20.89,2673.82,961.16
Jowar,Madhya Pradesh,Rabi,180.09,28064.88,25017.55,607.66,36.36,1040.9,187.46
Sunflower,Andhra Pradesh,Kharif,662.79,20239.38,16103.2,830.65,24.98,1270.31,841.95
Maize,Karnataka,Kharif,325.53,57541.02,36783.79,1948.7,26.34,2874.63,935.78
Jowar,Gujarat,Kharif,449.71,47333.64,41870.15,729.3,23.98,1098.1,493.83
Barley,Karnataka,Zaid,663.97,41104.7,35072.63,1669.64,29.63,3079.82,2044.91
Sugarcane,Haryana,Rabi,57.56,44214.32,38952.01,366.88,18.05,67563.23,3888.94
Groundnut,Karnataka,Kharif,89.01,20681.99,16036.84,1469.95,24.93,2130.21,189.61
Wheat,Gujarat,Rabi,973.11,46906.17,31721.11,1186.94,23.57,3533.59,3438.57
Groundnut,Maharashtra,Zaid,30.46,31936.15,25913.13,643.15,31.84,1382.85,42.12
Cotton,Tamil Nadu,Zaid,692.78,61096.34,53971.55,1461.52,27.43,1144.7,793.03
Rice,Rajasthan,Zaid,570.82,16671.29,14658.81,1472.2,31.91,3043.28,1737.17
Cotton,Karnataka,Kharif,107.04,51181.49,46054.34,381.96,39.43,487.18,52.15
Barley,Gujarat,Kharif,782.49,46185.89,37943.31,1793.48,25.1,3489.84,2730.76
Groundnut,Haryana,Rabi,877.95,32445.76,27925.1,938.64,22.42,1457.12,1279.28
Soybean,Gujarat,Kharif,324.92,35155.38,25271.51,1482.29,24.71,1600.03,519.88
Rice,Uttar Pradesh,Rabi,73.66,48189.67,38574.09,1353.13,26.59,2713.41,199.87
Maize,Karnataka,Rabi,951.5,61594.2,53850.02,1683.4,17.72,2736.43,2603.71
Sugarcane,Andhra Pradesh,Rabi,747.0,54352.0,41110.24,1698.07,25.77,58061.27,43371.77
Cotton,Gujarat,Zaid,380.38,25843.48,19221.22,630.75,19.16,734.46,279.37
Maize,Madhya Pradesh,Rabi,610.53,54388.29,37081.24,1003.03,18.05,2862.15,1747.43
Soybean,Rajasthan,Zaid,525.4,53997.54,34129.85,1264.43,21.41,1622.06,852.23
Soybean,Tamil Nadu,Kharif,373.82,43957.46,27855.46,304.39,30.95,1225.05,457.95
Cotton,Tamil Nadu,Kharif,793.85,50563.33,32989.14,913.31,37.65,819.78,650.78
Cotton,Maharashtra,Rabi,732.09,61814.58,49539.9,1676.2,34.17,1232.41,902.24
Jowar,Punjab,Zaid,586.82,24240.78,19903.19,1766.76,20.42,1901.23,1115.68
Jowar,Gujarat,Rabi,632.2,18215.0,11703.73,766.72,29.93,1451.15,917.42
Wheat,Uttar Pradesh,Rabi,428.49,54467.88,43995.39,1985.14,18.21,4077.47,1747.16
Jowar,Andhra Pradesh,Kharif,79.88,19711.2,17114.39,626.17,23.08,1172.92,93.69
Groundnut,Gujarat,Zaid,69.89,43548.29,27012.3,1660.61,20.84,2066.94,144.46
Wheat,Uttar Pradesh,Rabi,231.21,40127.23,26367.5,388.98,24.46,3247.88,750.94
Groundnut,Punjab,Zaid,730.79,40586.31,25084.07,1255.9,38.94,1811.43,1323.77
Barley,Andhra Pradesh,Rabi,97.13,39770.4,32884.12,890.87,31.62,2544.93,247.19
Sugarcane,Uttar Pradesh,Rabi,235.02,36962.38,23867.53,1987.22,38.18,73804.82,17345.61
Cotton,Maharashtra,Rabi,257.42,58334.61,50133.11,1334.43,27.67,1006.92,259.2
Sugarcane,Haryana,Kharif,36.64,31672.06,21503.23,912.23,17.19,65959.48,2416.76
Maize,Maharashtra,Rabi,447.48,48032.69,36250.46,1862.97,27.42,2977.04,1332.17
Groundnut,Karnataka,Rabi,501.4,36844.83,28072.8,1367.52,31.86,2022.98,1014.32
Maize,Andhra Pradesh,Rabi,81.38,37163.91,24233.0,1481.42,23.65,2718.44,221.23
Sugarcane,Haryana,Rabi,822.57,22288.86,19137.31,1868.69,27.18,74926.12,61631.98
Sugarcane,Uttar Pradesh,Zaid,398.96,23050.57,16371.91,415.89,15.65,68787.61,27443.5
Barley,Maharashtra,Kharif,549.75,68120.22,49710.69,830.09,27.65,2453.36,1348.73
Groundnut,Haryana,Zaid,152.45,18374.23,15328.31,1081.66,16.45,1686.79,257.15
Wheat,Madhya Pradesh,Zaid,983.69,28154.91,18094.45,506.35,22.58,3390.62,3335.32
Rice,Maharashtra,Zaid,229.28,27795.5,18518.5,595.38,31.39,2303.95,528.25
Groundnut,Andhra Pradesh,Rabi,131.15,63763.23,46861.85,630.86,24.19,1532.84,201.03
Cotton,Tamil Nadu,Kharif,11.53,37888.47,28204.3,332.63,21.5,526.29,6.07
Jowar,Andhra Pradesh,Rabi,190.1,49042.15,34184.84,1718.32,30.73,1699.45,323.07
Rice,Karnataka,Zaid,149.66,21995.99,18903.31,713.91,31.29,2417.23,361.76
Maize,Gujarat,Kharif,394.78,40269.57,33645.43,1816.54,38.88,2693.92,1063.51
Rice,Haryana,Kharif,279.73,66167.54,44723.8,1627.99,35.63,3110.44,870.08
Soybean,Haryana,Zaid,450.4,27483.06,23822.79,1066.05,37.06,1511.58,680.82
Sunflower,Gujarat,Zaid,716.47,18964.64,11784.19,320.58,38.91,1015.54,727.6
Cotton,Madhya Pradesh,Rabi,462.22,69537.36,61973.43,1901.94,34.6,1213.45,560.88
Cotton,Tamil Nadu,Rabi,21.43,19519.44,17379.29,802.26,34.23,732.05,15.69
Barley,Gujarat,Rabi,667.52,15573.52,10537.42,743.21,16.73,2733.94,1824.96
Wheat,Rajasthan,Kharif,125.67,41088.49,26057.79,1126.23,38.01,3758.97,472.39
Wheat,Rajasthan,Zaid,111.25,47919.24,30117.41,939.19,28.75,3128.27,348.02
Sugarcane,Maharashtra,Kharif,676.14,42282.63,25530.86,1987.11,31.79,63510.62,42942.07
Soybean,Andhra Pradesh,Kharif,258.8,44920.91,35524.41,675.81,39.46,1389.04,359.48
Soybean,Tamil Nadu,Rabi,984.68,66556.34,40795.85,580.19,18.29,1432.89,1410.94
Sugarcane,Haryana,Zaid,488.65,23287.19,16364.26,1002.81,33.95,69744.9,34080.85
Groundnut,Uttar Pradesh,Zaid,689.04,63032.76,49851.82,1593.91,19.0,2043.12,1407.79
Jowar,Rajasthan,Kharif,741.84,63479.79,43380.22,629.72,37.0,1015.01,752.98
Cotton,Andhra Pradesh,Zaid,188.43,34546.15,28850.79,1242.19,15.13,1050.51,197.95
Jowar,Rajasthan,Rabi,832.76,15606.74,12873.43,1589.75,31.96,1773.91,1477.24
Groundnut,Madhya Pradesh,Zaid,996.34,35257.02,25899.21,1527.52,37.15,1950.28,1943.14
Maize,Rajasthan,Kharif,663.21,15103.39,9870.24,349.42,19.17,2061.26,1367.05
Rice,Andhra Pradesh,Zaid,481.23,50327.9,31175.92,1285.97,29.04,2482.56,1194.68
Sugarcane,Madhya Pradesh,Rabi,486.85,47965.29,37443.8,338.99,23.05,58623.34,28540.77
Sunflower,Rajasthan,Rabi,210.24,60382.19,45654.31,934.89,18.06,1281.41,269.4
Rice,Andhra Pradesh,Kharif,89.06,27133.66,21149.81,1550.63,39.96,2962.81,263.87
Rice,Tamil Nadu,Zaid,118.78,37544.77,31985.92,952.52,29.3,2728.06,324.04
Cotton,Gujarat,Kharif,979.66,24091.18,19515.68,1295.88,29.66,1069.05,1047.31
Maize,Karnataka,Zaid,259.67,38631.12,33293.04,1731.29,19.65,2827.84,734.31
Rice,Karnataka,Rabi,937.38,53831.05,42491.6,384.73,37.6,2306.68,2162.24
Sugarcane,Tamil Nadu,Kharif,159.33,48562.38,31109.36,1577.34,31.42,66640.3,10617.8
Sugarcane,Karnataka,Rabi,283.1,17452.72,10661.63,768.72,21.89,58399.33,16532.85
Barley,Tamil Nadu,Kharif,487.83,16848.75,10425.94,1840.94,18.48,2822.01,1376.66
Sugarcane,Haryana,Kharif,771.97,19753.35,13255.2,1545.16,28.71,73271.72,56563.57
Sunflower,Gujarat,Kharif,981.31,29109.15,23178.23,636.77,29.13,1126.24,1105.19
Maize,Uttar Pradesh,Kharif,947.06,68204.59,44667.5,337.46,33.0,1867.7,1768.82
Groundnut,Andhra Pradesh,Kharif,523.63,21312.29,18286.84,1528.78,16.69,1902.06,995.98
Groundnut,Punjab,Kharif,613.09,27438.09,23434.2,1028.67,18.52,1524.54,934.68
Jowar,Haryana,Zaid,651.15,44998.75,27839.91,1171.25,35.16,1507.4,981.54
Jowar,Uttar Pradesh,Zaid,786.39,26075.01,17668.07,580.0,23.26,1199.5,943.27
Sunflower,Madhya Pradesh,Kharif,659.8,23889.09,16164.51,1909.28,29.0,1953.08,1288.64
Jowar,Punjab,Zaid,552.74,20178.36,14187.38,780.13,24.77,1250.46,691.18
Soybean,Gujarat,Zaid,380.73,57658.65,51278.32,646.4,28.08,1440.73,548.53
Sunflower,Gujarat,Kharif,634.77,58885.28,42326.22,1855.65,28.33,1753.68,1113.18
Wheat,Andhra Pradesh,Zaid,363.42,64345.25,41866.64,1161.99,29.95,3289.93,1195.63
Soybean,Madhya Pradesh,Kharif,732.77,60120.76,41720.72,1657.61,39.19,1714.04,1256.0
Rice,Andhra Pradesh,Kharif,668.09,49906.92,32428.84,1799.28,25.69,3251.15,2172.06
Soybean,Karnataka,Kharif,93.48,16615.03,14071.06,656.58,24.48,1448.27,135.38
Groundnut,Uttar Pradesh,Kharif,471.43,60190.03,44406.97,908.26,27.36,1505.5,709.74
Maize,Rajasthan,Kharif,113.39,19794.87,16147.14,1014.2,37.63,2310.7,262.01
Barley,Andhra Pradesh,Rabi,738.2,59340.77,50624.87,731.76,15.78,2793.27,2061.99
Wheat,Haryana,Zaid,686.48,18830.26,12286.07,1754.75,20.68,3781.86,2596.17
Maize,Maharashtra,Rabi,512.9,31792.09,21103.38,356.42,22.6,2270.13,1164.35
Sugarcane,Maharashtra,Kharif,766.18,58364.6,46662.23,742.49,37.68,69626.24,53346.23
Wheat,Madhya Pradesh,Rabi,460.63,62551.0,47788.62,946.68,39.42,4037.2,1859.66
Sugarcane,Punjab,Kharif,421.73,16494.63,14678.13,516.67,32.69,70707.54,29819.49
Soybean,Gujarat,Zaid,628.42,44297.17,35018.1,1064.73,20.46,1598.24,1004.37
Cotton,Maharashtra,Kharif,242.27,15682.22,11614.73,812.15,29.96,777.29,188.31
Barley,Maharashtra,Zaid,902.94,61874.51,49520.73,1308.48,37.31,2674.22,2414.66
Soybean,Punjab,Rabi,429.47,29727.72,24874.62,1274.69,31.47,1588.99,682.42
Rice,Karnataka,Kharif,525.48,16795.51,14453.64,409.97,38.9,2213.99,1163.41
Sunflower,Andhra Pradesh,Zaid,82.67,65087.21,48120.93,533.79,23.52,1005.31,83.11
Cotton,Uttar Pradesh,Rabi,591.9,53644.86,36008.04,1171.02,17.61,912.24,539.95
Groundnut,Uttar Pradesh,Rabi,263.04,29936.28,22208.8,1972.53,21.72,2235.22,587.95
Wheat,Punjab,Kharif,472.76,17510.68,11241.98,770.58,39.29,3383.46,1599.56
Rice,Uttar Pradesh,Rabi,610.97,30437.58,20152.65,1178.17,15.14,2966.8,1812.63
Rice,Rajasthan,Zaid,44.87,30280.21,25586.92,783.76,35.46,2404.26,107.88
Cotton,Uttar Pradesh,Zaid,507.66,63082.24,47189.55,1493.84,39.82,1052.8,534.46
Rice,Madhya Pradesh,Zaid,411.32,64918.61,52857.37,1333.44,22.73,2593.25,1066.66
Jowar,Andhra Pradesh,Rabi,721.53,62458.43,37514.48,1519.87,35.74,1662.79,1199.75
Rice,Maharashtra,Rabi,92.74,47797.68,36559.26,1830.55,25.11,2754.58,255.46
Maize,Gujarat,Zaid,412.97,50535.29,40121.74,1809.67,29.97,2575.61,1063.65
Barley,Gujarat,Zaid,873.76,54818.52,34873.76,1834.17,16.66,3209.08,2803.97
Sunflower,Haryana,Kharif,695.03,44287.1,32535.78,443.47,24.98,1017.44,707.15
Sunflower,Gujarat,Rabi,845.68,53087.11,38699.41,1444.04,21.88,1382.19,1168.89
Cotton,Tamil Nadu,Rabi,590.49,27445.35,19630.89,1065.21,29.48,911.56,538.27
